Comparison,U,p_unadjusted,p_bonferroni,rank_biserial_r,significant
Website vs YouTube,1645.5,0.006403603684241464,0.038421622105448784,-0.316,*
Website vs TikTok,1971.5,8.918114977382011e-09,5.350868986429207e-08,-0.678,***
Website vs Instagram,2364.0,1.5885687718563203e-14,9.531412631137922e-14,-0.891,***
YouTube vs TikTok,1775.0,1.4779720486698267e-05,8.86783229201896e-05,-0.511,***
YouTube vs Instagram,2313.0,2.2995052880390717e-13,1.3797031728234431e-12,-0.85,***
TikTok vs Instagram,1739.5,4.5563097436814534e-05,0.0002733785846208872,-0.48,***
